4
* SHG initiation (trimmed NHIS partial, test fixture)
* race=0 sex=0; cohort columns 1950, 2010
1,1,2,0,99
Race,Sex,Age,1950-1950,2010-2010
0,0,0,0,0
0,0,1,0,0
0,0,2,0,0
0,0,3,0,0
0,0,4,0,0
0,0,5,0,0
0,0,6,0,0
0,0,7,0,0
0,0,8,0,0
0,0,9,0.005542272,0.001470878
0,0,10,0.008534902,0.002275119
0,0,11,0.013233757,0.003527487
0,0,12,0.020906495,0.00555727
0,0,13,0.034095004,0.009039915
0,0,14,0.056888164,0.015107643
0,0,15,0.08891816,0.023786297
0,0,16,0.117976628,0.031787078
0,0,17,0.125246599,0.03362955
0,0,18,0.112228255,0.029771345
0,0,19,0.091545823,0.023986383
0,0,20,0.072503917,0.018912459
0,0,21,0.056567756,0.01483316
0,0,22,0.043628544,0.011599404
0,0,23,0.033387976,0.009061659
0,0,24,0.025412742,0.00707564
0,0,25,0.019275648,0.005522762
0,0,26,0.014597981,0.004309393
0,0,27,0.01105882,0.003361813
0,0,28,0.008395371,0.002622112
0,0,29,0.006398071,0.002044875
0,0,30,0.004903229,0.001594533
0,0,31,0.003783438,0.001243261
0,0,32,0.00293804,0.000969308
0,0,33,0.002294011,0.00075568
0,0,34,0.001799254,0.00058911
0,0,35,0.001416239,0.000459241
0,0,36,0.001117664,0.000357992
0,0,37,0.000883483,0.000279061
0,0,38,0.00069884,0.000217529
0,0,39,0.000552621,0.000169562
0,0,40,0.00043644,0.000132172
0,0,41,0.00034398,0.000103025
0,0,42,0.000270561,8.0306e-05
0,0,43,0.000212431,6.2596e-05
0,0,44,0.000166529,4.8792e-05
0,0,45,0.00013037,3.8032e-05
0,0,46,0.000101948,2.9645e-05
0,0,47,7.9651e-05,2.3107e-05
0,0,48,6.2189e-05,1.8011e-05
0,0,49,4.8533e-05,1.4039e-05
0,0,50,3.7867e-05,1.0943e-05
0,0,51,2.9545e-05,8.53e-06
0,0,52,2.3051e-05,6.648e-06
0,0,53,1.7985e-05,5.182e-06
0,0,54,1.4032e-05,4.039e-06
0,0,55,1.0948e-05,3.149e-06
0,0,56,8.541e-06,2.454e-06
0,0,57,6.664e-06,1.913e-06
0,0,58,5.199e-06,1.491e-06
0,0,59,4.057e-06,1.162e-06
0,0,60,3.165e-06,9.06e-07
0,0,61,2.469e-06,7.06e-07
0,0,62,1.927e-06,5.5e-07
0,0,63,1.503e-06,4.29e-07
0,0,64,1.173e-06,3.34e-07
0,0,65,9.15e-07,2.61e-07
0,0,66,7.13e-07,2.03e-07
0,0,67,5.56e-07,1.58e-07
0,0,68,4.33e-07,1.23e-07
0,0,69,3.38e-07,9.6e-08
0,0,70,2.63e-07,7.5e-08
0,0,71,2.05e-07,5.8e-08
0,0,72,1.6e-07,4.6e-08
0,0,73,1.25e-07,3.6e-08
0,0,74,9.7e-08,2.8e-08
0,0,75,7.6e-08,2.2e-08
0,0,76,5.9e-08,1.7e-08
0,0,77,4.6e-08,1.3e-08
0,0,78,3.6e-08,1e-08
0,0,79,2.8e-08,8e-09
0,0,80,2.2e-08,6e-09
0,0,81,1.7e-08,5e-09
0,0,82,1.3e-08,4e-09
0,0,83,1e-08,3e-09
0,0,84,8e-09,2e-09
0,0,85,6e-09,2e-09
0,0,86,5e-09,1e-09
0,0,87,4e-09,1e-09
0,0,88,3e-09,1e-09
0,0,89,2e-09,1e-09
0,0,90,2e-09,1e-09
0,0,91,1e-09,0
0,0,92,1e-09,0
0,0,93,1e-09,0
0,0,94,1e-09,0
0,0,95,1e-09,0
0,0,96,0,0
0,0,97,0,0
0,0,98,0,0
0,0,99,0,0
